request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,5475.59,affordable_with_plan,full_payment,2026-07-05:6670,,stop:event_2412,"Stop the delivery service plan, then pay ZAR 6,670 today. This leaves at least ZAR 20,500 available."
request_28,247.9,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,"Pay EUR 1,302.40 in full on 15 July 2024. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,1382.23,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,222.75,not_affordable,not_recommended,none,,none,Do not make this payment by 6 June 2026. None of the available options keeps the USD 900 minimum protected.
request_31,2182742.12,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,12221.47,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,21546.35,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 102,100 minimum protected."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,19518.91,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,527.93,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954 in full on 15 September 2026. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,3872562.16,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Pay IDR 14,649,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 17,056,200 minimum."
request_38,153.65,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,50906.94,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 15 June 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,300.43,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,500 minimum protected."
request_41,6791369.98,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,21365.42,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 113,100 minimum protected."
request_43,7650734.13,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,27881.08,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800 in full on 15 April 2025. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,3022069.15,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,32141.56,affordable_with_plan,partial_payment,2024-12-03:32141.56|2024-12-15:17308.44,2024-12-15,none,"Pay INR 32,141.56 today and the remaining INR 17,308.44 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 June 2025. None of the available options keeps the IDR 30,049,000 minimum protected."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,11967020.27,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,reduce_to:event_4636:696350,"Reduce the coffee shop to idr 696,350, then use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,38763.89,affordable_with_plan,full_payment,2025-08-06:43900,2025-10-15,reduce_to:event_4680:1928,"Reduce the household shopping to inr 1,928, then pay INR 43,900 today. This leaves at least INR 99,700 available."
request_51,1568542.5,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 2,191,000 request. Although IDR 1,568,542.50 is available today, the full amount cannot be completed safely within 90 days."
request_52,18059.24,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,408.36,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,stop:event_4925,"Stop the delivery service plan, then use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,1215.5,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,109919.66,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,stop:event_5101|reduce_to:event_5103:2536,"Stop the family streaming plan and reduce the online retail purchases to inr 2,536, then use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,578.72,affordable_with_plan,partial_payment,2025-02-03:578.72|2025-02-15:302.84,2025-02-15,none,"Pay USD 578.72 today and the remaining USD 302.84 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,11784.17,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,14227355.83,affordable_with_plan,full_payment,2024-12-07:16226000,2025-02-15,stop:event_5358,"Stop the community fitness plan, then pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available."
request_59,121403.57,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,reduce_to:event_5537:3930,"Reduce the neighbourhood restaurant to inr 3,930, then use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,106.82,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,Pay USD 199.89 in full on 15 February 2026. Paying earlier would take the balance below the USD 400 minimum.
